# digitized from Pepper (2007) figure 1 using
# 2021 May 20
# http://www.graphreader.com/
wlen tx
460.283 0.003
474.782 0.05
502.253 0.234
525.145 0.358
546.512 0.4
559.23 0.441
569.404 0.492
579.07 0.51
595.349 0.506
610.61 0.503
618.75 0.518
628.416 0.522
640.116 0.534
669.113 0.538
688.953 0.469
700.145 0.441
709.811 0.435
717.442 0.403
718.968 0.439
722.529 0.413
730.16 0.416
732.195 0.42
748.983 0.374
756.105 0.36
759.666 0.133
761.192 0.215
763.227 0.19
765.262 0.26
766.279 0.299
769.331 0.326
798.328 0.273
808.503 0.264
837.5 0.265
847.674 0.256
859.375 0.254
871.584 0.236
879.215 0.226
888.881 0.21
898.038 0.166
906.686 0.161
925.509 0.132
934.157 0.074
941.279 0.076
946.366 0.069
951.962 0.069
955.015 0.066
969.767 0.069
972.311 0.064
988.081 0.058
1017.587 0.032
1022.166 0.029
1029.288 0.029
1040.988 0.019
1054.724 0.02
1062.355 0.017
1072.02 0.01
1083.212 0.01
1087.791 0.011
1094.658 0.006
